time,Y,Ybar,Ybar_lo,Ybar_hi
1,1137,794.677997167097,728.754605459137,848.514676349245
2,712,677.317818865568,594.667063919761,740.33547961666
3,639,592.318905300072,485.954297860518,654.090235957526
4,1068,530.142269510994,429.985135379094,582.484226022281
5,721,485.478880219193,413.910852833995,521.665316659317
6,590,455.919936629073,411.893812303502,489.662970128277
7,478,441.650983144047,388.86888339196,536.765142259719
8,490,446.158433680345,354.558059538381,657.339171034971
9,NA,478.543677822675,323.771937606806,920.396755698261
10,NA,559.167062116585,295.888593369718,1419.8956186335
