time,Y,Ybar,Ybar_lo,Ybar_hi
1,5933,7353.63904603694,7200.11396112692,7738.33231697351
2,6784,7757.49864317671,7485.88684815924,8525.06897264872
3,6631,8134.26460565549,7776.88155968897,9045.1775386147
4,6813,8497.83003054538,8104.55428703199,9362.460679916
5,10191,8863.27735932879,8481.74657875553,9527.92138161159
6,10421,9243.7854305474,8891.03313774931,9729.42926683654
7,9044,9650.29573378045,9305.61182887772,10190.1733126093
8,6719,10092.1128603797,9402.56520727267,11001.8352243938
9,NA,10577.696884953,9407.73955826586,11970.8043219358
10,NA,11115.3978819522,9406.35109105395,13114.9114877217
