time,Y,Ybar,Ybar_lo,Ybar_hi
1,1619,1318.04295363334,1272.56842708225,1350.95026957514
2,1198,1298.17985937639,1208.43966727095,1365.23795351608
3,779,1294.50250821547,1171.30338349715,1388.16676286856
4,1504,1305.4151532267,1182.05730642396,1411.11563980669
5,1864,1330.66042254473,1239.72143591353,1434.18415704498
6,1259,1371.16777882528,1315.44298868764,1457.25881193809
7,1506,1429.12394150174,1337.44226591376,1534.12594236524
8,1980,1508.29228934841,1337.8784231736,1768.39307018835
9,NA,1614.70704267497,1336.99064227648,2117.87352905416
10,NA,1758.04510193628,1335.64881837321,2616.14218053188
