time,Y,Ybar,Ybar_lo,Ybar_hi
1,2344,925.863443130176,791.487662125445,1086.08880964193
2,2759,1410.61593597621,1033.80154260493,1949.28998499808
3,2737,1782.95348775532,1281.55772310057,2460.69487374588
4,2767,1981.22224611808,1555.55509237698,2502.03140365576
5,1424,2041.27246555145,1802.55222843737,2312.43706589635
6,1594,2020.43644793062,1781.50819226142,2293.88607391536
7,2556,1965.1372417699,1443.81192454076,2723.60095059859
8,1983,1906.10009253276,1133.69973256589,3235.6964547668
9,NA,1862.03553283777,858.865538506198,3824.7934319653
10,NA,1844.06838420382,632.99196040541,4501.37454753882
