time,Y,Ybar,Ybar_lo,Ybar_hi
15,1237,1133.0778940867,879.789069279363,1306.04457615832
51,686,969.053190569526,588.189659280234,1181.21874458969
87,1113,894.898304932672,542.292539327774,1097.63996625977
123,609,861.236526847911,575.850308864568,1031.60527932731
159,889,860.91862845048,661.866967941686,986.235372920967
195,729,897.584546264303,782.009873214342,992.496676397622
231,967,984.923746653156,817.467129752911,1268.01473317131
267,778,1153.64366802436,792.489443587631,1950.3215596993
303,NA,1470.12795770987,764.014251423779,3291.89649463383
339,NA,2082.07968469383,745.274691927982,6046.23078944033
