time,Y,Ybar,Ybar_lo,Ybar_hi
1,1490,1242.77421233347,1064.03000817752,1563.21618031634
2,1261,1497.40431560953,1101.65326749882,2070.07441999025
3,1367,1818.47710184462,1304.14960666365,2405.34585159637
4,2474,2303.98451207531,1747.03756112483,2939.20273525477
5,3096,3067.77729250484,2585.12940043467,3640.54259108203
6,4968,4292.50808604634,3757.50186434064,4788.38193657455
7,5543,6277.19578582759,4307.94357948933,7728.89656891132
8,5614,9535.7745832591,4649.26608960624,14351.8243569704
9,NA,15078.086677026,4926.4871882162,28420.3360517371
10,NA,24976.4542536424,5180.81016575054,57895.2898082017
