time,Y,Ybar,Ybar_lo,Ybar_hi
1,427,402.213365957781,339.804660067919,480.42516317032
2,524,393.110213403262,311.745055963003,530.582046721418
3,337,380.193369035497,300.375584252708,539.546902435147
4,529,361.785318272178,298.928285029811,502.539312748774
5,318,340.534305299838,301.541922159423,431.60341345985
6,551,320.808471333705,283.681315948105,381.171725588715
7,254,306.448747104352,243.18159561525,426.339514417881
8,257,299.992139102312,179.584071075121,506.154693017562
9,NA,303.067864755003,130.475124549501,616.986568172841
10,NA,317.205810208101,95.1707814031591,769.194038313079
