time,Y,Ybar,Ybar_lo,Ybar_hi
1,1043,777.873909582483,704.144312208424,828.361501463255
2,2039,1013.78790010348,865.147786145019,1095.60651569361
3,1427,1237.43203115273,1038.25464192303,1362.83400998926
4,1691,1430.23924196224,1239.38911471647,1555.42867624212
5,1294,1587.91103635233,1459.71364269848,1740.19902343858
6,1360,1714.64721905979,1543.78586949505,1959.03941642737
7,2279,1818.05058427138,1492.95282635779,2280.51717474023
8,2312,1906.62980041125,1420.824039841,2683.76459572739
9,NA,1988.83567588529,1329.3112249665,3154.15672049817
10,NA,2072.76751998052,1197.77702986993,3703.14634265284
