time,Y,Ybar,Ybar_lo,Ybar_hi
15,2316,2202.03756701756,2093.81669247844,2336.72574833016
51,2526,2768.35136684964,2554.67167834111,2987.73254862166
87,3307,3389.5268630348,3081.01157974192,3722.4930807887
123,4622,4051.83678901295,3675.70930119819,4460.73784494175
159,4746,4746.5259544933,4361.9009551308,5195.64747685489
195,5169,5471.01361494007,5048.03829784876,5937.5474867036
231,5750,6229.03961441668,5467.29079893188,6886.92497869813
267,5845,7030.10021349823,5697.00444611192,8084.35556851348
303,NA,7888.38974761694,5679.16779085865,9651.04549593056
339,NA,8821.53849483233,5536.13062669044,11515.1797025298
